date,return_day+1,close,volume,volatility_14
2017-05-01,0.020854248372685236,1529.99999999,20038395.802244,0.020240709749007584
2017-05-02,0.034389371467059116,1561.907,11571053.71835,0.0201729236168075
2017-05-03,-0.007255065176127284,1615.62000002,15060856.611379,0.019967165671628085
2017-05-04,-0.03771969916956408,1603.89857162,26329240.648002,0.020404055184723362
2017-05-05,0.035509794414928075,1543.4,32397184.731807,0.024766984849257687
2017-05-06,0.013730511471489182,1598.2058167,21397848.989857,0.025616551876413582
2017-05-07,0.05278792346387662,1620.15,30423501.191191,0.025512061188467907
2017-05-08,0.030978706720828475,1705.6743542,35687457.648562,0.027047744414808002
2017-05-09,0.02359154468527569,1758.51393978,31031382.589537,0.02729386533903421
2017-05-10,0.03339070700055635,1799.99999997,19590186.244489,0.02732856807687253
2017-05-11,-0.06687641425313307,1860.10327257,23108792.967502,0.027478816922249905
2017-05-12,0.04982171429608284,1735.70623556,22671159.462042,0.03467066176949621
2017-05-13,0.0020952375061453754,1822.18209573,15487324.079017,0.03577350496466557
2017-05-14,-0.03006663564622125,1826.0,11894862.005852,0.03592454739477668
2017-05-15,0.008978426957279906,1771.09832331,17995978.976383,0.03519396527440931
2017-05-16,0.04812534957383874,1787.00000024,20535506.520349,0.03508341066713538
2017-05-17,0.03691655056178056,1872.99999994,25413098.858037,0.03599105913928618
2017-05-18,0.012797862440942831,1942.14469914,18368974.30046,0.03618241621408553
2017-05-19,0.054705876588079905,1966.99999984,21303398.31478,0.032963169906502304
2017-05-20,-0.021019147462472354,2074.60645908,18428479.181757,0.03412694063598011
2017-05-21,0.029049729232048405,2030.99999999,19641402.589295,0.035790679585796625
2017-05-22,0.07411241954332692,2090.00000006,32492458.446294,0.03449727514303599
2017-05-23,0.06419233239240474,2244.89495691,23111448.180548,0.037786373860470665
2017-05-24,-0.0749267476589629,2389.00000017,34548265.730881,0.03973492668758774
2017-05-25,-0.035824460253393586,2210.0,71553361.438062,0.04704336354090994
2017-05-26,-0.07417865125671885,2130.82794284,64314551.745563,0.043570037773202695
2017-05-27,0.04274911471043952,1972.76599998,92665867.003232,0.048420599870204986
2017-05-28,0.07286957366645841,2057.10000001,53655830.894775,0.04932838501886571
2017-05-29,-0.03035795197553237,2207.0,33996389.987358,0.05060228866053703
2017-05-30,0.02663551386928331,2139.99999999,40157964.723235,0.052152643361117544
2017-05-31,0.05352537649415723,2196.99999967,32306413.202331,0.05138891463086135
2017-06-01,0.04035467890852984,2314.59525181,40944880.757948,0.052176784107795963
2017-06-02,0.019643209451827293,2408.0,22364557.424392,0.052650423352196496
2017-06-03,0.011505372817701254,2455.30084836,23687278.961569,0.0514808447415616
2017-06-04,0.061124809587082884,2483.55,21332021.248219,0.050536017955567725
2017-06-05,0.07992978463576517,2635.35652085,22372229.837905,0.05189807631430414
2017-06-06,-0.07044824008432882,2846.0,81923184.446165,0.05240308986282612
2017-06-07,0.05386333744016647,2645.50430872,49070430.356723,0.055604656643857754
2017-06-08,0.010078815233142135,2788.0,34013412.940554,0.051171795241905564
2017-06-09,-0.0015196609672485373,2816.09973687,25275425.99678,0.04888002535481428
2017-06-10,0.04455469061927042,2811.82022002,30620792.046735,0.041228448931092496
2017-06-11,-0.12462969110346933,2937.1,30830678.595825,0.041286224327259875
2017-06-12,0.04112115944811379,2571.05013426,88704710.63544,0.0555285856053248
2017-06-13,-0.1083370921500586,2676.77469678,42251296.767639,0.05456787226985215
2017-06-14,-0.005157902814240223,2386.78070979,63183088.135901,0.06395551088905073
2017-06-15,0.02549203612795381,2374.46992685,104677533.97412,0.06264567357033077
2017-06-16,0.07069720563009985,2435.00000001,43479966.625069,0.062100660089582045
2017-06-17,-0.04405108920700518,2607.14769572,36800919.715181,0.06462256672772294
2017-06-18,0.03641098393451814,2492.3,46411759.478332,0.06597042023239373
2017-06-19,0.03288864067011876,2583.04709526,28294406.623223,0.06459260271779746
2017-06-20,-0.01799100560563982,2668.00000301,36903854.052626,0.061285759930173024
2017-06-21,0.02037266025572526,2620.0,43815656.010359,0.05836488785061849
2017-06-22,-0.0012629609164100941,2673.37636987,22304647.568062,0.05669205632716919
2017-06-23,-0.06236627772659176,2670.0,13090231.864388,0.056595844938951895
2017-06-24,-0.008656040042229973,2503.48203847,34088563.732193,0.058828246108122303
2017-06-25,-0.03486278768607054,2481.8117977,41560204.433619,0.05695893994815583
