,date,googletrends_buy_sell
0,2017-05-01,0.8571428571428571
1,2017-05-02,0.8571428571428571
2,2017-05-03,0.9047619047619048
3,2017-05-04,0.8518518518518519
4,2017-05-05,0.8333333333333334
5,2017-05-06,0.88
6,2017-05-07,0.9
7,2017-05-08,0.8518518518518519
8,2017-05-09,0.8928571428571429
9,2017-05-10,0.9259259259259259
10,2017-05-11,0.8620689655172413
11,2017-05-12,0.9090909090909091
12,2017-05-13,0.896551724137931
13,2017-05-14,0.8571428571428571
14,2017-05-15,0.9032258064516129
15,2017-05-16,0.8387096774193549
16,2017-05-17,0.8846153846153846
17,2017-05-18,0.92
18,2017-05-19,0.9032258064516129
19,2017-05-20,0.8787878787878788
20,2017-05-21,0.8648648648648649
21,2017-05-22,0.875
22,2017-05-23,0.9078947368421053
23,2017-05-24,0.91
24,2017-05-25,0.9009009009009009
25,2017-05-26,0.8961038961038961
26,2017-05-27,0.8571428571428571
27,2017-05-28,0.9019607843137255
28,2017-05-29,0.8913043478260869
29,2017-05-30,0.8837209302325582
30,2017-05-31,0.9047619047619048
31,2017-06-01,0.8818223866790009
32,2017-06-02,0.8704318936877076
33,2017-06-03,0.9256756756756757
34,2017-06-04,0.8863636363636364
35,2017-06-05,0.9039836567926456
36,2017-06-06,0.8765790372140663
37,2017-06-07,0.8647826086956522
38,2017-06-08,0.8555093555093556
39,2017-06-09,0.8875606375606375
40,2017-06-10,0.9393382352941176
41,2017-06-11,0.8679962013295346
42,2017-06-12,0.8913817663817664
43,2017-06-13,0.9045621931260229
44,2017-06-14,0.8568292682926829
45,2017-06-15,0.8833575581395349
46,2017-06-16,0.8681467181467182
47,2017-06-17,0.8636977058029689
48,2017-06-18,0.8890243902439025
49,2017-06-19,0.8787878787878788
50,2017-06-20,0.8692569483834374
51,2017-06-21,0.862012987012987
52,2017-06-22,0.8544871794871794
53,2017-06-23,0.8593974175035868
54,2017-06-24,0.8598039215686275
55,2017-06-25,0.8878787878787879
56,2017-06-26,0.8840772818121252
57,2017-06-27,0.8794671864847303
58,2017-06-28,0.8739908739908739
59,2017-06-29,0.8757823784304285
60,2017-06-30,0.8595628415300547
61,2017-07-01,0.8801544459439197
62,2017-07-02,0.8920454545454546
63,2017-07-03,0.8734848484848485
64,2017-07-04,0.8410714285714285
65,2017-07-05,0.9082100968893422
66,2017-07-06,0.8878392305049811
67,2017-07-07,0.8810160427807486
68,2017-07-08,0.9155052264808363
69,2017-07-09,0.89272030651341
70,2017-07-10,0.892089093701997
71,2017-07-11,0.8875979843225084
72,2017-07-12,0.9055258467023173
73,2017-07-13,0.9003039513677811
74,2017-07-14,0.8448620551779289
75,2017-07-15,0.8708333333333333
76,2017-07-16,0.8385047281323876
77,2017-07-17,0.896516393442623
78,2017-07-18,0.8654421768707483
79,2017-07-19,0.8975845410628019
80,2017-07-20,0.8397530864197531
81,2017-07-21,0.8433333333333333
82,2017-07-22,0.8355481727574751
83,2017-07-23,0.910010111223458
84,2017-07-24,0.8947947214076246
85,2017-07-25,0.8650793650793651
86,2017-07-26,0.8844444444444444
87,2017-07-27,0.8726296958855099
88,2017-07-28,0.8248871919472405
89,2017-07-29,0.8574162679425836
90,2017-07-30,0.8852626211116777
91,2017-07-31,0.8365079365079365
92,2017-08-01,0.883876357560568
93,2017-08-02,0.8816137566137566
94,2017-08-03,0.8630917592051432
95,2017-08-04,0.8903301886792453
96,2017-08-05,0.8469155844155845
97,2017-08-06,0.8660714285714286
98,2017-08-07,0.8782894736842105
99,2017-08-08,0.8896103896103895
100,2017-08-09,0.8897058823529411
101,2017-08-10,0.925881086898036
102,2017-08-11,0.8590653290922436
103,2017-08-12,0.872517154207295
104,2017-08-13,0.875037503750375
105,2017-08-14,0.8672150411280846
106,2017-08-15,0.8979485577423723
107,2017-08-16,0.8709921355111918
108,2017-08-17,0.8687544824288789
109,2017-08-18,0.9053221288515406
110,2017-08-19,0.8799627111208599
111,2017-08-20,0.9079973562458692
112,2017-08-21,0.8856400259909032
113,2017-08-22,0.8852339181286549
114,2017-08-23,0.9057984269251875
115,2017-08-24,0.9004914004914004
116,2017-08-25,0.9026086956521739
117,2017-08-26,0.8980414746543779
118,2017-08-27,0.8778554778554779
119,2017-08-28,0.8625931445603576
120,2017-08-29,0.891025641025641
121,2017-08-30,0.8820181362145476
122,2017-08-31,0.8974358974358974
123,2017-09-01,0.8931322077457343
124,2017-09-02,0.8922953451043338
125,2017-09-03,0.9164972899728998
126,2017-09-04,0.8951486697965572
127,2017-09-05,0.897020514490394
128,2017-09-06,0.9060613682092555
129,2017-09-07,0.8941724941724942
130,2017-09-08,0.8725852272727272
131,2017-09-09,0.8896575579384296
132,2017-09-10,0.889016393442623
133,2017-09-11,0.9146167557932263
134,2017-09-12,0.8663636363636363
135,2017-09-13,0.8425352112676057
136,2017-09-14,0.8311688311688312
137,2017-09-15,0.8770384866275277
138,2017-09-16,0.888937664618086
139,2017-09-17,0.8620961386918834
140,2017-09-18,0.8771883289124669
141,2017-09-19,0.9048772051193359
142,2017-09-20,0.8987373737373737
143,2017-09-21,0.8680057388809181
144,2017-09-22,0.9214646464646464
145,2017-09-23,0.8642533936651584
146,2017-09-24,0.9198717948717949
147,2017-09-25,0.8893939393939394
148,2017-09-26,0.8746770025839793
149,2017-09-27,0.8803176403857061
150,2017-09-28,0.879862700228833
151,2017-09-29,0.861904761904762
152,2017-09-30,0.9114583333333333
153,2017-10-01,0.8812253743104806
154,2017-10-02,0.8803418803418803
155,2017-10-03,0.8785714285714286
156,2017-10-04,0.873015873015873
