,newdate,compound,merit_compound
0,2018-03-18,0.315158064516129,35.801332559139816
1,2018-04-05,0.34407276775251844,41.538789289899206
2,2018-04-06,0.3026237376237619,28.191494108910867
3,2018-02-02,0.324497070957096,41.03019665841578
4,2018-02-03,0.32156935797665365,50.046030982490194
5,2018-02-04,0.31867656798795824,44.13780712493733
6,2018-02-05,0.31694720496894396,46.97644939522708
7,2018-02-06,0.3077589144840637,39.75040186178604
8,2018-02-10,0.31958335654596065,40.45771497214483
9,2018-02-15,0.367976756756756,50.56443825825827
10,2018-02-17,0.3042484697064338,53.33674572142413
11,2018-02-28,0.3339385396518365,30.66385396518377
12,2018-03-05,0.35671211724679386,41.56490552211451
13,2018-03-13,0.36684689131466425,46.90894912197431
14,2018-03-20,0.34955835588633216,43.407439073071686
15,2018-03-24,0.3647562809099895,47.42014381800202
16,2018-03-15,0.3284525782688757,33.86859429097608
17,2018-03-16,0.3984292553191489,45.79493293439722
18,2018-03-21,0.34243797006206655,42.26603366192038
19,2018-03-22,0.3970093038386461,38.64397381262204
20,2018-04-18,0.420076060741402,46.57208106297452
21,2018-04-19,0.31999013452914843,39.10009003487794
22,2018-04-23,0.3065596621621617,34.7715442905405
23,2018-04-24,0.346463271726307,43.12859421942593
24,2017-12-16,0.40473241279069816,89.66184297480628
25,2017-12-18,0.3862454465849383,62.85832670753055
26,2017-12-25,0.3405701986754973,63.1910682628629
27,2017-12-27,0.35020444268147577,59.602289845299474
28,2017-12-29,0.3660037886340979,58.840888384845435
29,2017-12-31,0.40604851936218705,65.61626486332572
30,2018-01-01,0.39795110977804393,62.8350205758848
31,2018-01-02,0.3415603826411567,56.62003056462905
32,2018-01-15,0.3243731596360626,47.272385153019
33,2018-01-17,0.2767546959040124,34.84354745552335
34,2018-01-20,0.3291890739506994,39.94070379746833
35,2018-01-24,0.3037945118733507,40.3481422163588
36,2018-01-26,0.34876687898089115,59.577038461538585
37,2018-04-20,0.383523635477583,36.931907212475636
38,2018-02-26,0.3504117613310384,34.474812335054445
39,2018-02-27,0.4027265370467679,42.42555354703095
40,2018-03-02,0.365282721488008,40.72842584434662
41,2018-03-07,0.38072409090909076,41.79584954545448
42,2018-03-09,0.3683555484284803,39.55016529826814
43,2018-03-19,0.32637025019546495,41.121354925723175
44,2018-03-25,0.3361562003454225,42.09277316062173
45,2018-03-26,0.3007287103046007,35.55398755670774
46,2018-03-27,0.34965257693733687,44.604686948461314
47,2018-03-28,0.341745001778726,38.763712664532115
48,2018-03-29,0.36820166394779813,44.85311135399676
49,2018-03-17,0.31770586283185814,39.68118047566369
50,2018-04-13,0.4023335229581479,45.02514429093861
51,2018-04-15,0.402092857142857,46.01327451209989
52,2018-04-27,0.36906547619047636,53.87382753623185
53,2018-04-28,0.32074332734889294,40.89676002393774
54,2018-04-25,0.3511002430133672,38.50931028756586
55,2018-04-26,0.3276973552894214,39.20008278443116
56,2018-04-30,0.3493998160637647,47.975544573881095
57,2018-04-10,0.41987495183044354,50.2797698651252
58,2017-08-12,0.28471981538461577,84.67487304615389
59,2017-08-21,0.40429109442060035,133.94494978540772
60,2017-09-08,0.30940141620771094,94.66736624704959
61,2017-09-30,0.34992220744680896,80.61696761968089
62,2017-10-31,0.3049654618473895,52.57408378514051
63,2017-11-28,0.3934129827826898,75.10551223825044
64,2017-12-19,0.3992437665782491,73.29471442970824
65,2017-08-26,0.3345730188679247,88.28972566037739
66,2017-08-27,0.43386353421859025,135.7472895812053
67,2017-08-28,0.3854353901996381,124.96505326678762
68,2017-08-29,0.3785505090054816,98.07080227094745
69,2017-09-03,0.4308186851211072,149.62254930795856
70,2017-10-10,0.3360769435569749,72.87125021299256
71,2017-10-22,0.4115564102564107,104.02520475427347
72,2017-11-14,0.32542026777469935,61.86525844875346
73,2017-12-15,0.34924618226601,68.51764601806236
74,2018-01-18,0.3179568527918782,42.6367890016921
75,2018-03-30,0.33702697708795226,37.69016167775316
76,2018-03-31,0.39218536005434723,40.2068593070652
77,2018-04-01,0.37273900897904844,43.839547588959064
78,2018-04-09,0.3680051301982124,35.67266059075012
79,2018-04-11,0.366612197885196,39.30497001510572
80,2018-04-14,0.360427584608252,42.684246592489515
81,2018-04-21,0.397135359801488,42.078583498759286
82,2017-12-04,0.36932269113149824,70.70653951070328
83,2017-12-05,0.3474500275178861,73.76716499724814
84,2018-04-08,0.4000871804371989,37.31771055946643
85,2018-04-22,0.3554039304347817,39.79802013913042
86,2017-12-06,0.37966940639269453,63.362895180111636
87,2017-12-07,0.35620967141971466,61.06144271543706
88,2017-12-21,0.33148759630200303,52.423686787365135
89,2017-12-26,0.38764653465346577,55.468029844412996
90,2017-12-28,0.36171379440665097,61.21530910808777
91,2018-01-04,0.39533021312160505,66.06681395737569
92,2018-01-05,0.3710794740218081,47.412473412443916
93,2018-01-06,0.36823633549984536,56.60131408232744
94,2018-01-07,0.37629046299960434,54.96301179263954
95,2018-01-08,0.36333639064240586,50.83721321945774
96,2018-01-13,0.3566874885844752,59.630510228310555
97,2018-01-14,0.36934766435986144,58.809881531141805
98,2018-01-25,0.3447045371219068,57.923111182401485
99,2018-02-18,0.3208947046843174,47.601291310251206
100,2018-02-23,0.31656992433795744,38.990453593947
101,2018-02-24,0.27896326979472136,33.04448189149561
102,2018-02-25,0.4280225806451609,55.37490268817213
103,2018-03-01,0.4043088705768301,39.24084076587492
104,2018-03-14,0.3389878830740219,29.83073441772753
105,2017-08-15,0.43909146341463473,144.867979573171
106,2017-08-16,0.42985058324496284,149.7942295864262
