created_at,Tweets (#),Active Influencers (#),Average SA
2017-08-16 00:00:00,156,37,0.147530228259395
2017-08-17 00:00:00,244,41,0.09880725433491824
2017-08-18 00:00:00,203,39,0.16138721841923812
2017-08-19 00:00:00,160,30,0.10352262581168829
2017-08-20 00:00:00,110,24,0.0843310649787923
2017-08-21 00:00:00,161,33,0.10551821453218965
2017-08-22 00:00:00,187,30,0.12302983422301607
2017-08-23 00:00:00,212,37,0.09735452855146248
2017-08-24 00:00:00,227,36,0.11234242996357534
2017-08-25 00:00:00,227,30,0.10972862673303203
2017-08-26 00:00:00,153,27,0.12349304199794396
2017-08-27 00:00:00,72,21,0.12085317460317462
2017-08-28 00:00:00,132,28,0.07760602371113735
2017-08-29 00:00:00,150,30,0.08586623376623378
2017-08-30 00:00:00,158,31,0.08733138345480118
2017-08-31 00:00:00,133,28,0.11557758031442238
2017-09-01 00:00:00,137,31,0.08782341138180556
2017-09-02 00:00:00,98,20,0.10241039218717787
2017-09-03 00:00:00,71,16,0.09409304310712761
2017-09-04 00:00:00,164,34,0.05634391184696064
2017-09-05 00:00:00,170,31,0.11436663907987434
2017-09-06 00:00:00,112,35,0.0648029079055865
2017-09-07 00:00:00,150,32,0.1456341189674523
2017-09-08 00:00:00,151,26,0.09021874970136558
2017-09-09 00:00:00,76,25,0.048975872446267166
2017-09-10 00:00:00,89,24,0.12733646659208456
2017-09-11 00:00:00,119,27,0.13567343604108306
2017-09-12 00:00:00,195,33,0.12684657934657936
2017-09-13 00:00:00,203,32,0.09609709871409378
2017-09-14 00:00:00,166,36,0.11605409734174792
2017-09-15 00:00:00,258,33,0.12372669944181569
2017-09-16 00:00:00,190,27,0.13405368388921027
2017-09-17 00:00:00,96,26,0.11602314063251568
2017-09-18 00:00:00,147,33,0.13660686063747285
2017-09-19 00:00:00,177,33,0.08967336126940646
2017-09-20 00:00:00,214,34,0.08485944643362868
2017-09-21 00:00:00,157,33,0.12991867032472126
2017-09-22 00:00:00,216,37,0.11908709281973169
2017-09-23 00:00:00,126,23,0.09371432579765916
2017-09-24 00:00:00,106,31,0.06861416885001793
2017-09-25 00:00:00,126,31,0.09347339609244369
2017-09-26 00:00:00,253,38,0.09703082490631895
2017-09-27 00:00:00,313,35,0.1109524953215049
2017-09-28 00:00:00,251,35,0.10265089569571643
2017-09-29 00:00:00,211,34,0.10266708925180491
2017-09-30 00:00:00,203,35,0.11965690952452045
2017-10-01 00:00:00,154,33,0.09177803467576195
2017-10-02 00:00:00,211,39,0.08095709977226564
2017-10-03 00:00:00,206,35,0.09790238404619471
2017-10-04 00:00:00,269,38,0.08136605477683545
2017-10-05 00:00:00,250,40,0.0987251587301587
2017-10-06 00:00:00,188,32,0.12601542591569181
2017-10-07 00:00:00,156,30,0.11198576886076883
2017-10-08 00:00:00,149,32,0.1053565980998867
2017-10-09 00:00:00,156,36,0.09169575023741687
2017-10-10 00:00:00,278,40,0.11056314364093144
2017-10-11 00:00:00,176,37,0.1094482090930955
2017-10-12 00:00:00,277,41,0.10872297302577083
2017-10-13 00:00:00,215,39,0.0901638379923264
2017-10-14 00:00:00,166,30,0.1419675455067021
2017-10-15 00:00:00,195,32,0.12125129500129497
2017-10-16 00:00:00,218,42,0.12857122171915747
2017-10-17 00:00:00,235,40,0.1089449356789783
