iter	Passed	Remaining
403	11041	16289
404	11062	16252
405	11076	16206
406	11091	16160
407	11107	16116
408	11123	16072
409	11136	16025
410	11149	15977
411	11162	15930
412	11174	15881
413	11188	15836
414	11200	15789
415	11212	15741
416	11225	15694
417	11248	15661
418	11338	15722
419	11423	15775
420	11511	15831
421	11554	15825
422	11606	15832
423	11624	15791
424	11638	15745
425	11650	15698
426	11662	15649
427	11675	15604
428	11689	15558
429	11701	15511
430	11736	15494
431	11754	15455
432	11766	15408
433	11779	15361
434	11791	15315
435	11804	15269
436	11815	15222
437	11827	15175
438	11838	15129
439	11851	15083
440	11862	15036
441	11875	14992
442	11886	14945
443	11899	14901
444	11914	14859
445	11927	14815
446	11966	14804
447	11985	14767
448	12025	14757
449	12072	14754
450	12111	14743
451	12158	14740
452	12224	14761
453	12257	14740
454	12293	14725
455	12327	14706
456	12360	14686
457	12379	14650
458	12393	14608
459	12407	14565
460	12421	14522
461	12457	14506
462	12474	14468
463	12487	14424
464	12505	14387
465	12543	14374
466	12589	14368
467	12605	14329
468	12628	14298
469	12642	14256
470	12657	14216
471	12695	14202
472	12710	14161
473	12726	14122
474	12738	14079
475	12749	14035
476	12761	13991
477	12772	13948
478	12785	13906
479	12797	13863
480	12809	13821
481	12821	13779
482	12833	13737
483	12845	13695
484	12866	13662
485	12890	13633
486	12908	13597
487	12921	13556
488	12933	13515
489	12944	13472
490	12955	13430
491	12967	13389
492	12979	13347
493	12990	13305
494	13003	13265
495	13013	13223
496	13026	13183
497	13037	13141
498	13056	13109
499	13105	13105
500	13135	13082
501	13147	13042
502	13158	13001
503	13171	12962
504	13182	12921
505	13195	12882
506	13207	12842
507	13218	12802
508	13231	12763
509	13243	12723
510	13254	12683
511	13265	12643
512	13276	12603
513	13287	12563
514	13299	12524
515	13328	12501
516	13346	12469
517	13359	12431
518	13371	12392
519	13382	12353
520	13394	12314
521	13405	12275
522	13417	12237
523	13429	12198
524	13440	12160
525	13452	12122
526	13463	12084
527	13475	12046
528	13487	12008
529	13498	11970
530	13511	11933
531	13524	11897
532	13556	11877
533	13573	11845
534	13589	11811
535	13619	11789
536	13637	11757
537	13652	11723
538	13663	11686
539	13674	11648
540	13686	11612
541	13699	11576
542	13711	11539
543	13733	11512
544	13754	11482
545	13771	11451
546	13782	11414
547	13794	11377
548	13807	11343
549	13820	11307
550	13835	11274
551	13846	11237
552	13858	11201
553	13870	11166
554	13882	11130
555	13894	11095
556	13908	11062
557	13918	11025
558	13930	10989
559	13961	10969
560	13980	10939
561	13992	10905
562	14003	10869
563	14016	10835
564	14034	10804
565	14053	10775
566	14064	10740
567	14075	10705
568	14087	10670
569	14098	10635
570	14142	10625
571	14164	10598
572	14181	10568
573	14193	10534
574	14205	10499
575	14217	10465
576	14228	10430
577	14240	10397
578	14252	10363
579	14264	10329
580	14276	10295
581	14288	10262
582	14300	10228
583	14312	10195
584	14324	10161
585	14335	10127
586	14370	10110
587	14388	10081
588	14401	10049
589	14413	10015
590	14424	9982
591	14435	9948
592	14448	9916
593	14460	9883
594	14471	9850
595	14483	9817
596	14494	9784
597	14507	9752
598	14523	9722
599	14539	9692
600	14550	9660
601	14563	9628
602	14600	9612
603	14615	9582
604	14649	9564
605	14665	9534
606	14678	9503
607	14690	9471
608	14702	9439
609	14713	9406
610	14724	9374
611	14737	9343
612	14748	9311
613	14759	9278
614	14771	9247
615	14785	9217
616	14799	9186
617	14836	9170
618	14855	9143
619	14867	9112
620	14881	9082
621	14892	9050
622	14903	9018
623	14916	8988
624	14929	8957
625	14941	8926
626	14952	8894
627	14964	8864
628	14977	8833
629	14988	8802
630	15009	8777
631	15033	8753
632	15053	8727
633	15064	8696
634	15079	8667
635	15091	8637
636	15102	8606
637	15114	8575
638	15126	8545
639	15145	8519
640	15170	8496
641	15186	8468
642	15197	8437
643	15230	8419
644	15245	8391
645	15257	8361
646	15269	8330
647	15281	8301
648	15293	8271
649	15306	8242
650	15318	8212
651	15329	8182
652	15341	8152
653	15353	8122
654	15365	8093
655	15377	8063
656	15388	8033
657	15399	8004
658	15413	7975
659	15424	7945
660	15455	7926
661	15472	7899
662	15490	7873
663	15504	7845
664	15517	7816
665	15530	7788
666	15542	7759
667	15552	7729
668	15568	7702
669	15579	7673
670	15594	7646
671	15605	7616
672	15617	7588
673	15651	7570
674	15685	7552
675	15703	7526
676	15715	7497
677	15727	7469
678	15739	7440
679	15750	7412
680	15762	7383
681	15774	7355
682	15787	7327
683	15798	7298
684	15809	7270
685	15822	7242
686	15834	7214
687	15847	7186
688	15878	7167
689	15894	7141
690	15906	7113
691	15919	7085
692	15930	7057
693	15941	7029
694	15953	7001
695	15968	6974
696	15988	6950
697	16000	6922
698	16012	6895
699	16023	6867
700	16057	6849
701	16083	6827
702	16095	6799
703	16107	6772
704	16119	6744
705	16130	6717
706	16142	6689
707	16153	6662
708	16167	6635
709	16193	6614
710	16210	6589
711	16223	6562
712	16234	6534
713	16246	6507
714	16283	6490
715	16300	6465
716	16311	6438
717	16322	6410
718	16334	6383
719	16346	6356
720	16358	6330
721	16371	6303
722	16384	6277
723	16396	6250
724	16413	6225
725	16518	6234
726	16703	6272
727	16767	6264
728	16804	6246
729	16818	6220
730	16831	6193
731	16844	6167
732	16858	6140
733	16871	6114
734	16883	6087
735	16895	6060
736	16909	6034
737	16923	6008
738	16939	5982
739	16953	5956
740	16969	5931
741	16995	5909
742	17032	5891
743	17052	5867
744	17079	5846
745	17107	5824
746	17135	5803
747	17161	5781
748	17201	5764
749	17240	5746
750	17258	5722
751	17277	5697
752	17294	5673
753	17315	5649
754	17330	5623
755	17343	5597
756	17370	5575
757	17387	5551
758	17407	5527
759	17432	5505
760	17448	5479
761	17460	5453
762	17471	5427
763	17483	5400
764	17496	5374
765	17507	5348
766	17519	5321
767	17530	5295
768	17545	5270
769	17556	5244
770	17568	5218
771	17579	5192
772	17591	5165
773	17604	5140
774	17627	5117
775	17643	5092
776	17655	5067
777	17667	5041
778	17678	5015
779	17688	4989
780	17700	4963
781	17713	4938
782	17736	4915
783	17748	4889
784	17760	4864
785	17772	4838
786	17783	4813
787	17794	4787
788	17825	4766
789	17839	4742
790	17852	4716
791	17871	4693
792	17883	4668
793	17895	4642
794	17906	4617
795	17919	4592
796	17931	4567
797	17943	4542
798	17955	4516
799	17966	4491
800	17979	4466
801	17991	4441
802	18002	4416
803	18015	4391
804	18047	4371
805	18064	4347
806	18075	4322
807	18087	4298
808	18099	4273
809	18110	4248
810	18123	4223
811	18135	4198
812	18146	4173
813	18157	4149
814	18169	4124
815	18180	4099
816	18192	4075
817	18204	4050
818	18216	4025
819	18228	4001
820	18269	3983
821	18281	3958
822	18295	3934
823	18307	3910
824	18318	3885
825	18331	3861
826	18343	3837
827	18355	3812
828	18370	3789
829	18382	3765
830	18393	3740
831	18406	3716
832	18419	3692
833	18431	3668
834	18443	3644
835	18454	3620
836	18486	3600
837	18500	3576
838	18513	3552
839	18525	3528
840	18536	3504
841	18547	3480
842	18561	3456
843	18574	3433
844	18586	3409
845	18598	3385
846	18609	3361
847	18621	3337
848	18632	3313
849	18643	3290
850	18654	3266
851	18665	3242
852	18676	3218
853	18706	3198
854	18721	3175
855	18734	3151
856	18761	3130
857	18774	3107
858	18785	3083
859	18797	3060
860	18808	3036
861	18820	3013
862	18832	2989
863	18844	2966
864	18855	2942
865	18867	2919
866	18882	2896
867	18894	2873
868	18921	2852
869	18939	2830
870	18951	2806
871	18963	2783
872	18975	2760
873	18986	2737
874	18999	2714
875	19011	2691
876	19024	2668
877	19035	2645
878	19047	2621
879	19059	2599
880	19072	2576
881	19084	2553
882	19095	2530
883	19107	2507
884	19125	2485
885	19141	2462
886	19156	2440
887	19168	2417
888	19180	2394
889	19192	2372
890	19203	2349
891	19215	2326
892	19226	2303
893	19238	2281
894	19254	2258
895	19275	2237
896	19287	2214
897	19298	2192
898	19309	2169
899	19325	2147
900	19351	2126
901	19365	2103
902	19377	2081
903	19387	2058
904	19399	2036
905	19412	2014
906	19424	1991
907	19436	1969
908	19447	1946
909	19461	1924
910	19473	1902
911	19486	1880
912	19497	1857
913	19509	1835
914	19523	1813
915	19546	1792
916	19564	1770
917	19575	1748
918	19588	1726
919	19600	1704
920	19612	1682
921	19625	1660
922	19639	1638
923	19651	1616
924	19662	1594
925	19674	1572
926	19686	1550
927	19699	1528
928	19710	1506
929	19743	1486
930	19756	1464
931	19785	1443
932	19799	1421
933	19812	1400
934	19823	1378
935	19835	1356
936	19849	1334
937	19861	1312
938	19873	1291
939	19884	1269
940	19896	1247
941	19907	1225
942	19919	1204
943	19930	1182
944	19955	1161
945	19970	1139
946	19984	1118
